comuna;id
requinoa;0
isla de maipo;1
lota;2
santa juana;3
san fernando;4
villa alegre;5
castro;6
osorno;7
mafil;8
quellon;9
angol;10
tiltil;11
machali;12
vilcun;13
chanaral;14
linares;15
quilpue;16
canete;17
talca;18
talagante;19
codegua;20
rengo;21
contulmo;22
san jose de maipo;23
puchuncavi;24
penaflor;25
retiro;26
catemu;27
graneros;28
calbuco;29
andacollo;30
cobquecura;31
los angeles;32
monte patria;33
san esteban;34
los alamos;35
santa maria;36
lautaro;37
freire;38
coronel;39
chile chico;40
palmilla;41
coelemu;42
lonquimay;43
valdivia;44
padre las casas;45
licanten;46
lolol;47
las cabras;48
san rosendo;49
quillota;50
gorbea;51
caldera;52
puren;53
fresia;54
hijuelas;55
freirina;56
pitrufquen;57
yungay;58
paine;59
san clemente;60
quilleco;61
chillan viejo;62
vina del mar;63
penco;64
zapallar;65
san rafael;66
la union;67
papudo;68
victoria;69
chonchi;70
nueva imperial;71
algarrobo;72
diego de almagro;73
huasco;74
san ignacio;75
collipulli;76
san antonio;77
coquimbo;78
placilla;79
casablanca;80
cholchol;81
curico;82
chimbarongo;83
quillon;84
colina;85
cartagena;86
padre hurtado;87
los vilos;88
san pedro de la paz;89
coyhaique;90
carahue;91
los lagos;92
villa alemana;93
tocopilla;94
santa cruz;95
puente alto;96
empedrado;97
lago ranco;98
florida;99
romeral;100
el monte;101
san bernardo;102
pelarco;103
hualqui;104
talcahuano;105
quinta de tilcoco;106
san carlos;107
curacautin;108
malloa;109
concon;110
vicuna;111
calle larga;112
pinto;113
pemuco;114
san javier;115
cauquenes;116
quintero;117
bulnes;118
el tabo;119
peralillo;120
el quisco;121
antofagasta;122
lampa;123
maullin;124
quirihue;125
vallenar;126
punta arenas;127
mejillones;128
donihue;129
chillan;130
corral;131
pozo almonte;132
coltauco;133
longavi;134
tierra amarilla;135
mulchen;136
ninhue;137
loncoche;138
hualane;139
coihueco;140
yumbel;141
arauco;142
frutillar;143
purranque;144
pichidegua;145
valparaiso;146
melipilla;147
chaiten;148
teno;149
limache;150
peumo;151
los andes;152
ercilla;153
cabrero;154
nacimiento;155
chepica;156
illapel;157
taltal;158
tome;159
galvarino;160
lumaco;161
constitucion;162
parral;163
renaico;164
porvenir;165
coinco;166
chiguayante;167
huara;168
quilaco;169
salamanca;170
los muermos;171
concepcion;172
curacavi;173
la ligua;174
san pablo;175
curepto;176
traiguen;177
puerto montt;178
ancud;179
pichilemu;180
cabildo;181
lebu;182
llanquihue;183
nogales;184
copiapo;185
nancagua;186
iquique;187
panguipulli;188
rio bueno;189
santa barbara;190
chanco;191
sagrada familia;192
paillaco;193
temuco;194
pirque;195
san felipe;196
calera de tango;197
dalcahue;198
maule;199
futaleufu;200
arica;201
lanco;202
navidad;203
ovalle;204
hualpen;205
la serena;206
pucon;207
curanilahue;208
el carmen;209
rauco;210
rinconada;211
rancagua;212
petorca;213
punitaqui;214
molina;215
cunco;216
buin;217
llaillay;218
alto hospicio;219
calama;220
yerbas buenas;221
pica;222
cochrane;223
puerto varas;224
negrete;225
futrono;226
los sauces;227
combarbala;228
putaendo;229
santiago;230
la cruz;231
